Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
1973,5,-0.025,-0.076,-0.060,-0.092,
1973,6,-0.058,-0.076,-0.060,-0.092,
1973,7,-0.067,-0.076,-0.060,-0.091,
1973,8,-0.061,-0.075,-0.060,-0.091,
1973,9,-0.055,-0.075,-0.059,-0.091,
1973,10,-0.041,-0.075,-0.059,-0.090,
1973,11,0.003,-0.074,-0.059,-0.090,
1973,12,-0.020,-0.074,-0.058,-0.090,
1974,1,0.004,-0.074,-0.058,-0.089,
1974,2,-0.005,-0.073,-0.058,-0.089,
1974,3,-0.028,-0.073,-0.058,-0.088,
1974,4,-0.049,-0.073,-0.057,-0.088,
1974,5,-0.019,-0.072,-0.057,-0.088,
1974,6,0.027,-0.072,-0.057,-0.087,
1974,7,-0.064,-0.072,-0.056,-0.087,
1974,8,-0.073,-0.071,-0.056,-0.087,
1974,9,-0.027,-0.071,-0.056,-0.086,
1974,10,-0.062,-0.071,-0.056,-0.086,
1974,11,-0.101,-0.070,-0.055,-0.085,
1974,12,-0.044,-0.070,-0.055,-0.085,
1975,1,-0.021,-0.070,-0.055,-0.085,
1975,2,0.032,-0.069,-0.054,-0.084,
1975,3,-0.022,-0.069,-0.054,-0.084,
1975,4,-0.046,-0.069,-0.054,-0.084,
1975,5,-0.025,-0.068,-0.053,-0.083,
1975,6,-0.049,-0.068,-0.053,-0.083,
1975,7,0.016,-0.068,-0.053,-0.082,
1975,8,-0.024,-0.067,-0.053,-0.082,
1975,9,0.009,-0.067,-0.052,-0.082,
1975,10,-0.053,-0.067,-0.052,-0.081,
1975,11,-0.040,-0.066,-0.052,-0.081,
1975,12,0.035,-0.066,-0.051,-0.081,
1976,1,-0.115,-0.066,-0.051,-0.080,
1976,2,-0.130,-0.065,-0.051,-0.080,
1976,3,-0.077,-0.065,-0.051,-0.079,
1976,4,-0.040,-0.065,-0.050,-0.079,
1976,5,-0.013,-0.064,-0.050,-0.079,
1976,6,-0.040,-0.064,-0.050,-0.078,
1976,7,-0.073,-0.064,-0.049,-0.078,
1976,8,-0.100,-0.063,-0.049,-0.078,
1976,9,-0.076,-0.063,-0.049,-0.077,
1976,10,-0.126,-0.063,-0.048,-0.077,
1976,11,-0.156,-0.062,-0.048,-0.076,
1976,12,-0.078,-0.062,-0.048,-0.076,
1977,1,-0.091,-0.062,-0.048,-0.076,
1977,2,-0.133,-0.061,-0.047,-0.075,
1977,3,-0.065,-0.061,-0.047,-0.075,
1977,4,-0.104,-0.061,-0.047,-0.075,
1977,5,-0.043,-0.060,-0.046,-0.074,
1977,6,-0.024,-0.060,-0.046,-0.074,
1977,7,-0.076,-0.060,-0.046,-0.074,
1977,8,-0.042,-0.059,-0.046,-0.073,
1977,9,-0.015,-0.059,-0.045,-0.073,
1977,10,-0.114,-0.059,-0.045,-0.072,
1977,11,-0.040,-0.058,-0.045,-0.072,
1977,12,-0.078,-0.058,-0.044,-0.072,
1978,1,-0.088,-0.058,-0.044,-0.071,
1978,2,-0.027,-0.057,-0.044,-0.071,
1978,3,-0.074,-0.057,-0.043,-0.071,
1978,4,-0.037,-0.057,-0.043,-0.070,
1978,5,-0.025,-0.056,-0.043,-0.070,
1978,6,-0.046,-0.056,-0.043,-0.069,
1978,7,-0.006,-0.056,-0.042,-0.069,
1978,8,-0.061,-0.055,-0.042,-0.069,
1978,9,-0.052,-0.055,-0.042,-0.068,
1978,10,-0.001,-0.055,-0.041,-0.068,
1978,11,0.012,-0.054,-0.041,-0.068,
1978,12,-0.044,-0.054,-0.041,-0.067,
1979,1,-0.005,-0.054,-0.041,-0.067,
1979,2,-0.060,-0.053,-0.040,-0.066,
1979,3,-0.022,-0.053,-0.040,-0.066,
1979,4,0.009,-0.053,-0.040,-0.066,
1979,5,-0.058,-0.052,-0.039,-0.065,
1979,6,-0.073,-0.052,-0.039,-0.065,
1979,7,-0.015,-0.052,-0.039,-0.065,
1979,8,0.003,-0.051,-0.038,-0.064,
1979,9,0.003,-0.051,-0.038,-0.064,
1979,10,-0.068,-0.051,-0.038,-0.064,
1979,11,-0.073,-0.050,-0.038,-0.063,
1979,12,-0.050,-0.050,-0.037,-0.063,
1980,1,0.046,-0.050,-0.037,-0.062,
1980,2,-0.014,-0.049,-0.037,-0.062,
1980,3,-0.047,-0.049,-0.036,-0.062,
1980,4,-0.031,-0.049,-0.036,-0.061,
1980,5,-0.034,-0.048,-0.036,-0.061,
1980,6,-0.055,-0.048,-0.035,-0.061,
1980,7,-0.058,-0.048,-0.035,-0.060,
1980,8,-0.073,-0.047,-0.035,-0.060,
1980,9,-0.076,-0.047,-0.035,-0.059,
1980,10,-0.126,-0.047,-0.034,-0.059,
1980,11,-0.052,-0.046,-0.034,-0.059,
1980,12,-0.060,-0.046,-0.034,-0.058,
1981,1,-0.088,-0.046,-0.033,-0.058,
1981,2,-0.078,-0.045,-0.033,-0.058,
1981,3,-0.056,-0.045,-0.033,-0.057,
1981,4,-0.067,-0.045,-0.033,-0.057,
1981,5,-0.043,-0.044,-0.032,-0.057,
1981,6,-0.058,-0.044,-0.032,-0.056,
1981,7,-0.030,-0.044,-0.032,-0.056,
1981,8,-0.054,-0.043,-0.031,-0.055,
1981,9,-0.088,-0.043,-0.031,-0.055,
1981,10,-0.111,-0.043,-0.031,-0.055,
1981,11,-0.024,-0.042,-0.030,-0.054,
1981,12,-0.063,-0.042,-0.030,-0.054,
