"year","station_id","yearly_msl"
1980,"San Diego, CA","-0.019"
1980,"Clearwater Beach, FL","-0.048"
1980,"Waveland, MS","-0.085"
1980,"Dauphin Island, AL","-0.046"
1980,"Rockport, TX","-0.222"
1980,"South Beach, OR","-0.017"
1980,"Pulaski, GA","-0.057"
1980,"Seavy Island, ME","-0.093"
1980,"Lewisetta,VA","-0.092"
1980,"Honolulu, HI","0.028"
1981,"Pulaski, GA","-0.084"
1981,"Lewisetta,VA","-0.104"
1981,"Seavy Island, ME","-0.070"
1981,"Rockport, TX","-0.192"
1981,"South Beach, OR","-0.017"
1981,"Dauphin Island, AL","-0.061"
1981,"Honolulu, HI","0.056"
1981,"Clearwater Beach, FL","-0.063"
1981,"San Diego, CA","-0.032"
1981,"Waveland, MS","-0.090"
1982,"Seavy Island, ME","-0.097"
1982,"San Diego, CA","0.010"
1982,"Pulaski, GA","-0.052"
1982,"Rockport, TX","-0.194"
1982,"Clearwater Beach, FL","-0.047"
1982,"South Beach, OR","0.018"
1982,"Dauphin Island, AL","-0.035"
1982,"Waveland, MS","-0.053"
1982,"Lewisetta,VA","-0.060"
1982,"Honolulu, HI","-0.029"
1983,"Pulaski, GA","0.012"
1983,"Clearwater Beach, FL","-0.014"
1983,"Honolulu, HI","-0.016"
1983,"San Diego, CA","0.074"
1983,"Lewisetta,VA","0.015"
1983,"South Beach, OR","0.110"
1983,"Dauphin Island, AL","0.023"
1983,"Rockport, TX","-0.124"
1983,"Waveland, MS","0.011"
1983,"Seavy Island, ME","-0.008"
1984,"Rockport, TX","-0.152"
1984,"South Beach, OR","-0.005"
1984,"Honolulu, HI","0.030"
1984,"Waveland, MS","-0.021"
1984,"Clearwater Beach, FL","-0.021"
1984,"Lewisetta,VA","-0.001"
1984,"Pulaski, GA","-0.027"
1984,"San Diego, CA","0.020"
1984,"Seavy Island, ME","-0.077"
1984,"Dauphin Island, AL","-0.007"
1985,"Lewisetta,VA","-0.045"
1985,"Rockport, TX","-0.154"
1985,"San Diego, CA","-0.027"
1985,"Pulaski, GA","-0.024"
1985,"Clearwater Beach, FL","-0.016"
1985,"Dauphin Island, AL","-0.014"
1985,"Seavy Island, ME","-0.066"
1985,"South Beach, OR","-0.082"
1985,"Honolulu, HI","0.001"
1985,"Waveland, MS","-0.021"
1986,"Lewisetta,VA","-0.046"
1986,"Clearwater Beach, FL","-0.008"
1986,"Pulaski, GA","0.001"
1986,"Rockport, TX","-0.145"
1986,"Dauphin Island, AL","-0.022"
1986,"Waveland, MS","-0.043"
1986,"South Beach, OR","-0.009"
1986,"Seavy Island, ME","-0.054"
1986,"San Diego, CA","-0.014"
1986,"Honolulu, HI","-0.061"
1987,"Honolulu, HI","-0.033"
1987,"South Beach, OR","-0.015"
1987,"San Diego, CA","0.002"
1987,"Clearwater Beach, FL","-0.032"
1987,"Lewisetta,VA","-0.017"
1987,"Rockport, TX","-0.177"
1987,"Dauphin Island, AL","-0.037"
1987,"Waveland, MS","-0.060"
1987,"Pulaski, GA","-0.027"
1988,"Rockport, TX","-0.204"
1988,"Dauphin Island, AL","-0.060"
1988,"Pulaski, GA","-0.055"
1988,"South Beach, OR","-0.066"
1988,"Clearwater Beach, FL","-0.106"
1988,"San Diego, CA","-0.055"
1988,"Lewisetta,VA","-0.072"
1988,"Honolulu, HI","0.052"
1988,"Waveland, MS","-0.033"
1989,"Lewisetta,VA","-0.052"
1989,"Waveland, MS","-0.064"
1989,"Honolulu, HI","-0.011"
1989,"South Beach, OR","-0.060"
1989,"Pulaski, GA","-0.060"
1989,"San Diego, CA","-0.040"
1989,"Dauphin Island, AL","-0.037"
1989,"Clearwater Beach, FL","-0.070"
1989,"Rockport, TX","-0.198"
1990,"Rockport, TX","-0.137"
1990,"Pulaski, GA","-0.036"
1990,"Clearwater Beach, FL","-0.008"
1990,"Honolulu, HI","-0.061"
1990,"Lewisetta,VA","-0.057"
1990,"Dauphin Island, AL","0.009"
1990,"South Beach, OR","-0.031"
1990,"San Diego, CA","0.001"
1990,"Waveland, MS","0.003"
1991,"San Diego, CA","0.004"
1991,"Clearwater Beach, FL","0.047"
1991,"Lewisetta,VA","-0.013"
1991,"Dauphin Island, AL","0.017"
1991,"Waveland, MS","0.028"
1991,"Honolulu, HI","-0.016"
1991,"Rockport, TX","-0.094"
1991,"Pulaski, GA","0.025"
1991,"South Beach, OR","-0.051"
1992,"Waveland, MS","-0.005"
1992,"San Diego, CA","0.060"
1992,"Lewisetta,VA","0.006"
1992,"Dauphin Island, AL","0.001"
1992,"Pulaski, GA","0.006"
1992,"Honolulu, HI","0.025"
1992,"South Beach, OR","0.029"
1992,"Rockport, TX","-0.102"
1992,"Clearwater Beach, FL","0.049"
1993,"Honolulu, HI","0.008"
1993,"Rockport, TX","-0.127"
1993,"Pulaski, GA","0.002"
1993,"South Beach, OR","0.035"
1993,"Dauphin Island, AL","-0.014"
1993,"Waveland, MS","-0.018"
1993,"San Diego, CA","0.037"
1993,"Clearwater Beach, FL","0.085"
1993,"Lewisetta,VA","0.031"
1994,"San Diego, CA","-0.001"
1994,"Pulaski, GA","-0.020"
1994,"Honolulu, HI","0.001"
1994,"Lewisetta,VA","-0.046"
1994,"Waveland, MS","0.027"
1994,"Dauphin Island, AL","0.016"
1994,"Rockport, TX","-0.117"
1994,"South Beach, OR","-0.002"
1995,"Rockport, TX","-0.055"
1995,"Pulaski, GA","0.072"
1995,"Waveland, MS","0.013"
1995,"San Diego, CA","-0.001"
1995,"South Beach, OR","0.048"
1995,"Dauphin Island, AL","0.034"
1995,"Honolulu, HI","0.063"
1995,"Lewisetta,VA","-0.020"
1996,"Lewisetta,VA","0.048"
1996,"San Diego, CA","-0.021"
1996,"Honolulu, HI","0.045"
1996,"Waveland, MS","0.019"
1996,"Dauphin Island, AL","-0.017"
1996,"South Beach, OR","0.022"
1996,"Clearwater Beach, FL","-0.032"
1996,"Pulaski, GA","-0.027"
1996,"Rockport, TX","-0.118"
1997,"South Beach, OR","0.083"
1997,"San Diego, CA","0.073"
1997,"Lewisetta,VA","0.062"
1997,"Waveland, MS","-0.032"
1997,"Rockport, TX","-0.056"
1997,"Dauphin Island, AL","0.026"
1997,"Pulaski, GA","0.035"
1997,"Honolulu, HI","0.030"
1997,"Clearwater Beach, FL","-0.011"
1998,"Waveland, MS","0.005"
1998,"San Diego, CA","0.015"
1998,"Honolulu, HI","-0.040"
1998,"South Beach, OR","0.067"
1998,"Lewisetta,VA","0.108"
1998,"Pulaski, GA","0.012"
1998,"Clearwater Beach, FL","0.010"
1998,"Rockport, TX","-0.007"
1998,"Seavy Island, ME","0.000"
1999,"Waveland, MS","0.022"
1999,"Pulaski, GA","0.067"
1999,"Honolulu, HI","0.011"
1999,"South Beach, OR","-0.013"
1999,"Rockport, TX","-0.035"
