Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
1972,7,-0.031,-0.104,-0.084,-0.123,
1972,8,-0.049,-0.103,-0.084,-0.123,
1972,9,-0.030,-0.103,-0.083,-0.122,
1972,10,-0.055,-0.102,-0.083,-0.122,
1972,11,0.052,-0.102,-0.083,-0.122,
1972,12,0.023,-0.102,-0.082,-0.121,
1973,1,0.023,-0.101,-0.082,-0.121,
1973,2,0.008,-0.101,-0.081,-0.120,
1973,3,0.042,-0.100,-0.081,-0.120,
1973,4,-0.029,-0.100,-0.081,-0.119,
1973,5,-0.043,-0.100,-0.080,-0.119,
1973,6,-0.075,-0.099,-0.080,-0.118,
1973,7,-0.056,-0.099,-0.080,-0.118,
1973,8,-0.062,-0.098,-0.079,-0.117,
1973,9,-0.052,-0.098,-0.079,-0.117,
1973,10,-0.052,-0.098,-0.079,-0.116,
1973,11,-0.204,-0.097,-0.078,-0.116,
1973,12,-0.077,-0.097,-0.078,-0.115,
1974,1,0.044,-0.096,-0.078,-0.115,
1974,2,-0.050,-0.096,-0.077,-0.114,
1974,3,-0.144,-0.096,-0.077,-0.114,
1974,4,-0.191,-0.095,-0.077,-0.113,
1974,5,-0.064,-0.095,-0.076,-0.113,
1974,6,0.001,-0.094,-0.076,-0.112,
1974,7,-0.059,-0.094,-0.076,-0.112,
1974,8,-0.089,-0.093,-0.075,-0.112,
1974,9,-0.094,-0.093,-0.075,-0.111,
1974,10,-0.192,-0.093,-0.075,-0.111,
1974,11,-0.134,-0.092,-0.074,-0.110,
1974,12,0.002,-0.092,-0.074,-0.110,
1975,1,-0.075,-0.091,-0.074,-0.109,
1975,2,-0.020,-0.091,-0.073,-0.109,
1975,3,-0.092,-0.091,-0.073,-0.108,
1975,4,-0.246,-0.090,-0.073,-0.108,
1975,5,-0.049,-0.090,-0.072,-0.107,
1975,6,-0.054,-0.089,-0.072,-0.107,
1975,7,-0.056,-0.089,-0.072,-0.106,
1975,8,-0.113,-0.089,-0.071,-0.106,
1975,9,-0.067,-0.088,-0.071,-0.105,
1975,10,-0.024,-0.088,-0.071,-0.105,
1975,11,-0.015,-0.087,-0.070,-0.104,
1975,12,-0.022,-0.087,-0.070,-0.104,
1976,1,-0.072,-0.087,-0.070,-0.103,
1976,2,-0.148,-0.086,-0.069,-0.103,
1976,3,-0.092,-0.086,-0.069,-0.103,
1976,4,-0.169,-0.085,-0.069,-0.102,
1976,5,-0.183,-0.085,-0.068,-0.102,
1976,6,-0.093,-0.085,-0.068,-0.101,
1976,7,-0.120,-0.084,-0.068,-0.101,
1976,8,-0.104,-0.084,-0.067,-0.100,
1976,9,-0.116,-0.083,-0.067,-0.100,
1976,10,-0.091,-0.083,-0.067,-0.099,
1976,11,-0.235,-0.082,-0.066,-0.099,
1976,12,-0.242,-0.082,-0.066,-0.098,
1977,1,-0.294,-0.082,-0.065,-0.098,
1977,2,-0.303,-0.081,-0.065,-0.097,
1977,3,-0.186,-0.081,-0.065,-0.097,
1977,4,-0.194,-0.080,-0.064,-0.096,
1977,5,-0.174,-0.080,-0.064,-0.096,
1977,6,-0.127,-0.080,-0.064,-0.095,
1977,7,-0.132,-0.079,-0.063,-0.095,
1977,8,-0.153,-0.079,-0.063,-0.095,
1977,9,-0.046,-0.078,-0.063,-0.094,
1977,10,-0.122,-0.078,-0.062,-0.094,
1977,11,-0.067,-0.078,-0.062,-0.093,
1977,12,-0.007,-0.077,-0.062,-0.093,
1978,1,-0.096,-0.077,-0.061,-0.092,
1978,2,-0.035,-0.076,-0.061,-0.092,
1978,3,-0.061,-0.076,-0.061,-0.091,
1978,4,-0.008,-0.076,-0.060,-0.091,
1978,5,-0.018,-0.075,-0.060,-0.090,
1978,6,-0.127,-0.075,-0.060,-0.090,
1978,7,-0.038,-0.074,-0.059,-0.089,
1978,8,-0.058,-0.074,-0.059,-0.089,
1978,9,-0.012,-0.074,-0.059,-0.088,
1978,10,-0.070,-0.073,-0.058,-0.088,
1978,11,0.037,-0.073,-0.058,-0.088,
1978,12,-0.138,-0.072,-0.058,-0.087,
1979,1,-0.038,-0.072,-0.057,-0.087,
1979,2,-0.074,-0.071,-0.057,-0.086,
1979,3,-0.037,-0.071,-0.056,-0.086,
1979,4,-0.054,-0.071,-0.056,-0.085,
1979,5,-0.094,-0.070,-0.056,-0.085,
1979,6,-0.072,-0.070,-0.055,-0.084,
1979,7,-0.053,-0.069,-0.055,-0.084,
1979,8,-0.062,-0.069,-0.055,-0.083,
1979,9,-0.027,-0.069,-0.054,-0.083,
1979,10,-0.085,-0.068,-0.054,-0.082,
1979,11,-0.061,-0.068,-0.054,-0.082,
1979,12,-0.117,-0.067,-0.053,-0.081,
1980,1,0.004,-0.067,-0.053,-0.081,
1980,2,-0.123,-0.067,-0.053,-0.081,
1980,3,-0.165,-0.066,-0.052,-0.080,
1980,4,-0.020,-0.066,-0.052,-0.080,
1980,5,-0.046,-0.065,-0.052,-0.079,
1980,6,-0.136,-0.065,-0.051,-0.079,
1980,7,-0.135,-0.065,-0.051,-0.078,
1980,8,-0.113,-0.064,-0.051,-0.078,
1980,9,-0.131,-0.064,-0.050,-0.077,
1980,10,-0.143,-0.063,-0.050,-0.077,
1980,11,-0.168,-0.063,-0.049,-0.076,
1980,12,-0.160,-0.063,-0.049,-0.076,
1981,1,-0.178,-0.062,-0.049,-0.075,
1981,2,-0.145,-0.062,-0.048,-0.075,
1981,3,-0.147,-0.061,-0.048,-0.075,
1981,4,-0.212,-0.061,-0.048,-0.074,
1981,5,-0.058,-0.060,-0.047,-0.074,
1981,6,-0.099,-0.060,-0.047,-0.073,
1981,7,-0.080,-0.060,-0.047,-0.073,
1981,8,-0.055,-0.059,-0.046,-0.072,
1981,9,-0.088,-0.059,-0.046,-0.072,
1981,10,-0.125,-0.058,-0.046,-0.071,
1981,11,-0.061,-0.058,-0.045,-0.071,
1981,12,-0.144,-0.058,-0.045,-0.070,
1982,1,-0.145,-0.057,-0.044,-0.070,
1982,2,-0.032,-0.057,-0.044,-0.069,
1982,3,-0.077,-0.056,-0.044,-0.069,
1982,4,-0.224,-0.056,-0.043,-0.069,
1982,5,-0.079,-0.056,-0.043,-0.068,
1982,6,0.050,-0.055,-0.043,-0.068,
1982,7,-0.068,-0.055,-0.042,-0.067,
1982,8,-0.092,-0.054,-0.042,-0.067,
1982,9,-0.070,-0.054,-0.042,-0.066,
1982,10,0.034,-0.054,-0.041,-0.066,
1982,11,-0.067,-0.053,-0.041,-0.065,
1982,12,0.002,-0.053,-0.041,-0.065,
1983,1,0.004,-0.052,-0.040,-0.064,
1983,2,0.075,-0.052,-0.040,-0.064,
1983,3,0.085,-0.052,-0.039,-0.064,
1983,4,0.029,-0.051,-0.039,-0.063,
