Station_ID,Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
"Lewisetta,VA",1970,11,0.04,-0.115,-0.097,-0.132
"Lewisetta,VA",1970,12,-0.028,-0.114,-0.097,-0.132
"Lewisetta,VA",1971,1,-0.112,-0.114,-0.096,-0.131
"Lewisetta,VA",1971,2,-0.071,-0.113,-0.096,-0.131
"Lewisetta,VA",1971,3,-0.141,-0.113,-0.095,-0.13
"Lewisetta,VA",1971,4,-0.091,-0.112,-0.095,-0.13
"Lewisetta,VA",1971,5,-0.119,-0.112,-0.095,-0.129
"Lewisetta,VA",1971,6,-0.065,-0.112,-0.094,-0.129
"Lewisetta,VA",1971,7,-0.116,-0.111,-0.094,-0.128
"Lewisetta,VA",1971,8,-0.133,-0.111,-0.093,-0.128
"Lewisetta,VA",1971,9,-0.09,-0.11,-0.093,-0.127
"Lewisetta,VA",1971,10,0.048,-0.11,-0.092,-0.127
"Lewisetta,VA",1971,11,-0.009,-0.109,-0.092,-0.126
"Lewisetta,VA",1971,12,-0.083,-0.109,-0.092,-0.126
"Lewisetta,VA",1972,1,-0.054,-0.108,-0.091,-0.125
"Lewisetta,VA",1974,1,0.104,-0.097,-0.081,-0.113
"Lewisetta,VA",1974,2,-0.004,-0.096,-0.08,-0.112
"Lewisetta,VA",1974,3,-0.11,-0.096,-0.08,-0.112
"Lewisetta,VA",1974,4,-0.14,-0.095,-0.08,-0.111
"Lewisetta,VA",1974,5,-0.061,-0.095,-0.079,-0.111
"Lewisetta,VA",1974,6,-0.01,-0.094,-0.079,-0.11
"Lewisetta,VA",1974,7,-0.046,-0.094,-0.078,-0.11
"Lewisetta,VA",1974,8,-0.075,-0.093,-0.078,-0.109
"Lewisetta,VA",1974,9,-0.072,-0.093,-0.077,-0.109
"Lewisetta,VA",1974,10,-0.183,-0.093,-0.077,-0.108
"Lewisetta,VA",1974,11,-0.088,-0.092,-0.076,-0.108
"Lewisetta,VA",1974,12,0.016,-0.092,-0.076,-0.107
"Lewisetta,VA",1975,1,-0.036,-0.091,-0.076,-0.107
"Lewisetta,VA",1975,2,-0.004,-0.091,-0.075,-0.106
"Lewisetta,VA",1975,3,-0.028,-0.09,-0.075,-0.106
"Lewisetta,VA",1975,4,-0.161,-0.09,-0.074,-0.105
"Lewisetta,VA",1975,5,-0.012,-0.089,-0.074,-0.105
"Lewisetta,VA",1975,6,-0.04,-0.089,-0.073,-0.104
"Lewisetta,VA",1975,7,-0.003,-0.088,-0.073,-0.104
"Lewisetta,VA",1975,8,-0.053,-0.088,-0.073,-0.103
"Lewisetta,VA",1975,9,-0.029,-0.087,-0.072,-0.102
"Lewisetta,VA",1975,10,0.027,-0.087,-0.072,-0.102
"Lewisetta,VA",1975,11,0.04,-0.086,-0.071,-0.101
