"year","station_id","monthly_msl"
1980,"Honolulu, HI","0.016"
1980,"Honolulu, HI","-0.002"
1980,"Lewisetta,VA","-0.150"
1980,"Honolulu, HI","0.026"
1980,"Seavy Island, ME","-0.115"
1980,"Honolulu, HI","0.055"
1980,"Dauphin Island, AL","-0.070"
1980,"Pulaski, GA","-0.029"
1980,"Waveland, MS","-0.064"
1980,"Pulaski, GA","-0.179"
1980,"South Beach, OR","-0.070"
1980,"Honolulu, HI","0.076"
1980,"Lewisetta,VA","-0.138"
1980,"Honolulu, HI","-0.020"
1980,"South Beach, OR","0.006"
1980,"Clearwater Beach, FL","-0.073"
1980,"San Diego, CA","-0.051"
1980,"Honolulu, HI","-0.007"
1980,"Clearwater Beach, FL","-0.076"
1980,"San Diego, CA","-0.036"
1980,"Clearwater Beach, FL","-0.014"
1980,"Lewisetta,VA","-0.077"
1980,"San Diego, CA","-0.042"
1980,"Waveland, MS","-0.100"
1980,"Lewisetta,VA","-0.131"
1980,"Dauphin Island, AL","0.054"
1980,"Dauphin Island, AL","-0.068"
1980,"Lewisetta,VA","-0.084"
1980,"Seavy Island, ME","-0.140"
1980,"Honolulu, HI","0.010"
1980,"Pulaski, GA","-0.102"
1980,"South Beach, OR","-0.003"
1980,"Waveland, MS","-0.135"
1980,"San Diego, CA","0.085"
1980,"Clearwater Beach, FL","-0.052"
1980,"Rockport, TX","-0.352"
1980,"Waveland, MS","-0.103"
1980,"Clearwater Beach, FL","-0.126"
1980,"Clearwater Beach, FL","-0.047"
1980,"Seavy Island, ME","-0.144"
1980,"Rockport, TX","-0.253"
1980,"Waveland, MS","-0.055"
1980,"Clearwater Beach, FL","-0.058"
1980,"Rockport, TX","-0.227"
1980,"San Diego, CA","-0.041"
1980,"Lewisetta,VA","0.013"
1980,"Dauphin Island, AL","-0.016"
1980,"Pulaski, GA","0.070"
1980,"San Diego, CA","0.022"
1980,"Dauphin Island, AL","-0.080"
1980,"Pulaski, GA","-0.145"
1980,"South Beach, OR","-0.057"
1980,"Rockport, TX","-0.249"
