Station_ID,Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
"Waveland, MS",1978,6,-0.062,-0.077,-0.058,-0.096
"Waveland, MS",1978,7,-0.059,-0.077,-0.058,-0.096
"Waveland, MS",1978,8,-0.061,-0.077,-0.058,-0.096
"Waveland, MS",1978,9,-0.073,-0.076,-0.057,-0.095
"Waveland, MS",1978,10,-0.086,-0.076,-0.057,-0.095
"Waveland, MS",1978,11,-0.018,-0.075,-0.057,-0.094
"Waveland, MS",1978,12,-0.03,-0.075,-0.056,-0.094
"Waveland, MS",1979,1,-0.103,-0.075,-0.056,-0.093
"Waveland, MS",1979,2,-0.068,-0.074,-0.055,-0.093
"Waveland, MS",1979,3,-0.006,-0.074,-0.055,-0.092
"Waveland, MS",1979,4,0.129,-0.073,-0.055,-0.092
"Waveland, MS",1979,5,-0.049,-0.073,-0.054,-0.091
"Waveland, MS",1979,6,-0.068,-0.072,-0.054,-0.091
"Waveland, MS",1979,7,0.085,-0.072,-0.054,-0.09
"Waveland, MS",1979,8,-0.01,-0.072,-0.053,-0.09
"Waveland, MS",1979,9,-0.006,-0.071,-0.053,-0.09
"Waveland, MS",1979,10,-0.125,-0.071,-0.053,-0.089
"Waveland, MS",1979,11,-0.134,-0.07,-0.052,-0.089
"Waveland, MS",1979,12,-0.051,-0.07,-0.052,-0.088
"Waveland, MS",1980,1,0.032,-0.07,-0.052,-0.088
"Waveland, MS",1980,2,-0.047,-0.069,-0.051,-0.087
"Waveland, MS",1980,3,-0.055,-0.069,-0.051,-0.087
"Waveland, MS",1980,4,-0.039,-0.068,-0.05,-0.086
"Waveland, MS",1980,5,-0.064,-0.068,-0.05,-0.086
"Waveland, MS",1980,6,-0.135,-0.068,-0.05,-0.085
"Waveland, MS",1980,7,-0.084,-0.067,-0.049,-0.085
"Waveland, MS",1980,8,-0.055,-0.067,-0.049,-0.084
"Waveland, MS",1980,9,-0.103,-0.066,-0.049,-0.084
"Waveland, MS",1980,10,-0.25,-0.066,-0.048,-0.083
"Waveland, MS",1980,11,-0.116,-0.065,-0.048,-0.083
"Waveland, MS",1980,12,-0.1,-0.065,-0.048,-0.083
"Waveland, MS",1981,1,-0.13,-0.065,-0.047,-0.082
"Waveland, MS",1981,2,-0.041,-0.064,-0.047,-0.082
"Waveland, MS",1981,3,-0.137,-0.064,-0.047,-0.081
"Waveland, MS",1981,4,-0.045,-0.063,-0.046,-0.081
"Waveland, MS",1981,5,-0.052,-0.063,-0.046,-0.08
"Waveland, MS",1981,6,-0.065,-0.063,-0.045,-0.08
"Waveland, MS",1981,7,-0.05,-0.062,-0.045,-0.079
"Waveland, MS",1981,8,-0.043,-0.062,-0.045,-0.079
"Waveland, MS",1981,9,-0.189,-0.061,-0.044,-0.078
"Waveland, MS",1981,10,-0.137,-0.061,-0.044,-0.078
"Waveland, MS",1981,11,-0.079,-0.061,-0.044,-0.077
"Waveland, MS",1981,12,-0.106,-0.06,-0.043,-0.077
"Waveland, MS",1982,1,-0.082,-0.06,-0.043,-0.077
