year,Africa,Asia,Caribbean,Central America,Europe,North America,Oceania,South America
1980,24.02,18.29,25.4,24.58,7.44,0.91,24.75,21.21
1981,23.93,18.34,25.3,24.32,8.05,1.38,24.8,20.97
1982,23.92,17.91,25.2,24.54,8.44,0.09,24.62,21.1
1983,24.31,18.17,25.45,24.88,8.59,0.28,24.81,21.25
1984,24.06,17.92,24.96,24.08,8.03,0.39,24.78,20.7
1985,24.01,18.19,24.89,24.35,7.42,0.51,24.81,20.94
1986,23.96,18.16,25.09,24.38,7.94,0.73,24.78,21.09
1987,24.45,18.43,25.65,24.87,7.57,1.01,24.75,21.42
1988,24.12,18.44,25.41,24.69,8.5,0.95,25,20.97
1989,23.84,18.29,25.11,24.45,9.03,0.36,24.75,20.88
1990,24.23,18.59,25.45,24.68,9.14,0.81,24.93,21.08
1991,24.1,18.38,25.46,24.76,8.28,1,24.73,21.12
1992,24.01,17.87,25.31,24.7,8.78,0.47,24.65,20.95
1993,24.11,18.11,25.5,24.64,8.22,0.67,24.55,21.04
1994,24.03,18.56,25.47,24.78,9.11,1.01,24.66,21.26
1995,24.28,18.56,25.56,24.8,8.65,1.03,24.84,21.24
1996,24.18,18.41,25.24,24.35,7.83,0.77,24.88,20.99
1997,24.31,18.41,25.56,24.86,8.63,0.9,24.71,21.51
1998,24.64,19.14,25.95,25.08,8.61,1.8,25.03,21.56
1999,24.25,19.01,25.45,24.23,9.04,1.18,24.88,20.97
2000,24.2,18.7,25.27,24.44,9.43,1.09,24.89,20.92
2001,24.41,19.03,25.54,24.82,8.83,1.34,25,21.23
2002,24.55,18.9,25.68,24.98,9.27,1.32,24.98,21.26
2003,24.59,18.72,25.72,25.04,8.98,1.5,24.94,21.31
2004,24.54,18.93,25.45,24.91,8.79,1.02,24.95,21.3
2005,24.71,18.76,25.67,24.84,8.65,1.8,25.03,21.27
2006,24.5,18.9,25.63,24.88,9.07,1.88,24.85,21.37
2007,24.53,18.95,25.51,24.76,9.49,1.39,25,20.97
2008,24.41,18.77,25.26,24.71,9.38,1.05,24.85,21.15
2009,24.68,18.98,25.6,25.1,9.2,1.24,24.86,21.37
2010,24.93,19.47,25.62,24.75,8.39,1.89,24.92,21.35
2011,24.48,18.57,25.46,24.84,9.34,1.56,24.85,21.19
2012,24.45,18.82,25.53,24.9,9.08,1.79,24.86,21.38
2013,24.53,18.96,25.65,24.94,9.11,1.09,25.04,21.22
2014,24.56,18.97,25.74,25,9.87,1.42,24.94,21.51
2015,24.72,19.2,26.08,25.27,9.73,1.58,24.92,21.81
2016,24.87,19.33,25.94,25.34,9.47,2.35,25.22,21.56
2017,24.7,19.13,25.81,25.12,9.42,1.82,25.16,21.62
2018,24.58,19.32,25.56,24.68,9.89,1.34,25.08,21.3
2019,24.67,19.33,25.89,25.11,9.95,1.6,25.09,21.57
2020,24.66,19.19,25.93,25.32,10.11,1.62,25.18,21.67
